"assetType","slNo","customer","partName","partNo","revision","manufactureNo","manufactureYear","category","pressTonnage","mechNo","toolingLife","speed","model","cavityNo","incomingDate","location","size","weightKg","materialModel","thickness","materialWidthStep","ppepNo","blankingGap","designer","platingSupplier","productionFlowChart","firstSubmissionDate","designChangeDate","status","productPosition"
"Tooling","35","STL","High Arc Plate#5","48187053#5","00","D21.TL.64","2024","Progressive Tooling","80T","1#","","90","Progressive Tooling / （3 Cav.）","1&2&3","","F1/A2-11","","236","SPCC-4D","1.2","84*19","REG4-AAAQBN","Unilateral / 0.1mm","Zhang QingHao","","Stamping---Plating---Packaging---Finished Product","2021.9.29","","Use","THAI"
"Tooling","36","STL","Arc Stack Plate","48187199#3","02","D21.TL.63","2024","Progressive Tooling","80T","1#","","90","Progressive Tooling / （3 Cav.）","1&2&3","","F1/A2-7","","230","SPCC-4","1.6","63*19.5","REG4-AAAQBR","Unilateral / 0.08mm","Shen Xiaozhi","","Stamping---Plating---Packaging---Finished Product","2021.10.22","","Use","THAI"
"Tooling","37","STL","Handle Arm","48187057AA","05","D21.TL.56","2024","Progressive Tooling","110T","3#","","70","Progressive Tooling / （1 Cav.）","NO","","","","250","SPFC590","1.2","93*33.5","REG4-AAAPSF","Unilateral / 0.08mm","Zhang Qinghao","","Stamping---Plating---Packaging---Finished Product","2021.10.22","","Use","THAI"
"Tooling","38","STL","Secondary latch","48187062AA","06","D21.TL.75","2024","Progressive Tooling","150T","6#","","60","Progressive Tooling / （2 Cav.）","I1&I2","","","","","SPFC590","1.0","48*32","REG4-AAAPSE","Unilateral / 0.05mm","Lin Peng","","Stamping---Heat Treatment---Packaging---Finished Product","2021.10.22","","Use","THAI"
"Tooling","39","STL","Local Reinforcing Plate","GHM12023/S1B13956#2","01","D21.TL.78","2024","Progressive Tooling","80T","1#","","80","Progressive Tooling / （8 Cav.）","1&2&3&4&5&6&7&8","","F1/A1-7","","180","SPCC-SD","0.6","45*9.6","REG4-AAAQIJ","Unilateral / 0.04mm","Shen Xiaozhi","","Stamping---Plating---Riveting","2021.10.20","","Use","THAI"
"Tooling","40","STL","InPut Connector Greco","51207042#2","10","D21.TL.104","2024","Progressive Tooling","80T","2#","","150","Progressive Tooling / （2 Cav.）","DOT/NO DOT","","F1/A3-4","","180","SPCC-SD","1.0","50*11","REG4-AAASGO","Unilateral / 0.1mm","Shen Xiaozhi","","Stamping---Plating---Packaging---Finished Product","2021.11.27","","Use","THAI"
"Tooling","41","STL","Bimetal Support Greco#4","/ 51207070AB","13","D21.TL.38","2024","Progressive Tooling","110T","5#","","110","Progressive Tooling / （2 Cav.）","DOT/NO DOT","","","","","SPCC-SD","0.8","38*64","REG4-AAARNY","Unilateral / 0.08mm","LIJIAN","","Stamping---Plating---Packaging---Finished Product","2021.08.20","","Scrap","THAI"
"Tooling","42","STL","ARC PLATE GRECO（21年备模）","51207117#5","05","D21.TL.103","2024","Progressive Tooling","80T","2#","","180","Progressive Tooling / （14 Cav.）","1-14","","F1/A3-8","","600","SPCC-SD","0.8","141*29.4","REG4-AAASGQ","Unilateral / 0.04mm","Zhaoxing","","Stamping---Plating---Packaging---Finished Product","2021.10.20","","Use","THAI"
"Tooling","43","STL","LANCED LINE TERM.-HIGH&LOW","48187094AA / 48187095AA","05 / 07","D21.TL.53","2024","Progressive Tooling","150T/UMX110","","","60","Progressive Tooling / （1 Cav.）","NO","","","","","T2Y2","2","70.5*15.5","REG4-AAAPSI / REG4-AAAPSJ","Unilateral / 0.08mm","Hu Yongjian","","Stamping---Plating---Packaging---Finished Product","-","","Use","CHINA"
"Tooling","44","STL","BIMTEAL STRUT","W113896050411","20","D21.TL.77","2024","Progressive Tooling","110T","","","100","Progressive Tooling / （2 Cav.）","1&2","","","","","DC03C390 / 预镀铜","1.2","54*12","REG4-AAAQVA","Unilateral / 0.06mm","Hu Yongjian","","Stamping---clean---packaging---Finished Product","-","","Use","CHINA"
