"no","partNumber","toolNumber","dwNumber","nameEn","specifications","material","quantityInStock","picture","minInventory","maxInventory"
"84","1160088","Q25.JS.071","48","Lower mold insert","36.00x44.00x30.00","Cr12MoV","1","spare-part-images/084-1160088-48.png","1","2"
"85","1160088","Q25.JS.071","49","Lower mold insert","42.00x59.10x30.00","Cr12MoV","1","spare-part-images/085-1160088-49.png","1","2"
"86","1160088","Q25.JS.071","50","Lower mold insert","42.00x59.10x30.00","Cr12MoV","1","spare-part-images/086-1160088-50.png","1","2"
"87","1160088","Q25.JS.071","51","Lower mold insert","42.00x81.00x30.00","Cr12MoV","1","spare-part-images/087-1160088-51.png","1","2"
"88","1160088","Q25.JS.071","52","Lower mold insert","42.00x81.00x30.00","Cr12MoV","1","spare-part-images/088-1160088-52.png","1","2"
"89","1160088","Q25.JS.071","53","Lower mold insert","14.50x33.00x11.50","45#","1","spare-part-images/089-1160088-53.png","1","2"
"90","1160088","Q25.JS.071","54","Lower mold insert","15.50x33.00x37.60","Cr12MoV","1","spare-part-images/090-1160088-54.png","1","2"
"91","1160088","Q25.JS.071","55","Lower mold insert","14.50x33.00x11.50","45#","1","spare-part-images/091-1160088-55.png","1","2"
"92","1160088","Q25.JS.071","56","Lower mold insert","15.50x33.00x37.60","Cr12MoV","1","spare-part-images/092-1160088-56.png","1","2"
"93","1160088","Q25.JS.071","57","Lower mold insert","13.00x18.00x30.00","45#","2","spare-part-images/093-1160088-57.png","1","2"
"94","1160088","Q25.JS.071","58","Lower mold insert","43.00x54.80x30.00","Cr12MoV","1","spare-part-images/094-1160088-58.png","1","2"
"95","1160088","Q25.JS.071","59","Lower mold insert","42.00x54.80x30.00","Cr12MoV","1","spare-part-images/095-1160088-59.png","1","2"
"96","1188861+62","QT25.JS.068-2","1","Main bracket","60.0x167.0x74.50","Cr12","1","spare-part-images/096-1188861-62-1.png","1","2"
"97","1188861+62","QT25.JS.068-2","2","R position plate","9.90x98.0x63.0","Cr12","1","spare-part-images/097-1188861-62-2.png","1","2"
